Emotion,Text
fear,ayeuna pas intro oke fine kuat walaupun agak takut pas intro beres jol lagu abditeh bangsul auto muringkak eta mah te kuat sieun tp penasaran tp da sieun
anger,goblog ajigg pemain loyal si mas mah teu ngahargaan pisan di eureunkeun
anger,emg kaayaan urg kieu ayana ayena bae disebut madesu ge ngan aing gs ngaluhuran sia di leyek ku aing mah sirah sia engke
anger,teori hungkul babangus badag realitana mah pret ah
sadness,anying ieu film di sctv nyieun hayang leweh hayang aya di bandung mamaaaaaaaahhhh
anger,matakna jd perempuan jgn bodoh atu rek naon ngadatangan si botak beuuuhhh anti galau mah sholat sing kereup dodol
anger,rek di ajar sombong ayenamah teu paduli bagong tea lah batur ge kitu ka aing 
fear,jantung urang labuh bakat ku sieun tadi
anger,kehed sia anying tebisa cicing sia anying ceuk aing diuk didinya sia diuk didinya sia jelema apa monyetsih ppppffffftttt
anger,beunget sia ngeleg euy jdi hayang mere sambel na beunget sia trus sanguan 
anger,mun aing jadi pemain mengbal atawa jadi pemain persib sakali hayang neunggeul si ismed duli di kartu merah ge
anger,ribut jeung aing sia goblog
anger,goblog awewe teh bisaan ngelakna ih anjing ijid demi allah ges aya bukti oge angger we teu ngaku
sadness,tapi angger pak ning ah patani nu benang gusur mah aya waeee karunya petani beuki seer proyek nya beuki wee seep mata pencaharianna punten pang regepkeun pak
sadness,mun diri enjing abdi diparengkn dipasti ku gusti pageto abdi sumerah tur ikhlas sahnteuna abdi tos t ngrsa pnarasan ku cita2 abdi tibaheula
sadness,ngadangu dina kaset takbir teh nyeredet kana hate asa loba dosa teh gusti
anger,tungguan weh nder kamu sukses pasti hyg balik deui ke ge mun ngajak nikah pasti minjem duit lalaki bangsat bedul siah goblog pisan euy
anger,maen jeung hatena nuhun badag mas hariono24 manajemen goblog 
joy,hatur nuhun gusti nu tos maparin karunia ka abdi dina dinteun ieu mugi enjing abdi kenging nu langkung sae aamiin 
sadness,abi hungkul nu ngarasa karunya meuni polos pak
anger,anjing pisan eta budak letik keneh wani ka awewe si aniing setan budak haram hungkul kesel
joy,sok atoh mun status di like ku nu gareulis hahaha padahal mah da teu ngaruh naon ngelike hungkul mah
sadness,naha ya sok parada teu ngawaro mun urang ngajakkan temenan teh meni sedih mun promot di base sepi teh
sadness,nineung mah harga garpit teh 3000 meunang 2 batang ari ayeuna mah ci teteh warung nugeulis itu teh ges di kawin ku batur baheula
sadness,mah pak ieu nu namina dewasa teh geuning karasa cape karasa leleusna gawe cape hate cape fisik nahan awak anu kudu na cicing ngagoler tapi kudu tetep seuri ka konsumen sanajan hate nalangsa tp urang kudu berusaha
sadness,aslina om sbaari dihuapan ku nu janten indung duh nyeredet kieu om
sadness,naha sih mak meuni leuleus kitu ih karunya
joy,gk tau kenapa sok bungah we mun ningali persija eleh teh
anger,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah
fear,sieun ky iran ngbantah tp lgsg menkes nya yg positif corona
anger,kabiasaan jelema indo munteu menta hampura kelaripikasi weh bengetan ajig aral aing mah 
anger,goblog pisan saban taun nu dimasalahkeun ngan ngucapkeun natal hungkul masia ngucapkeun nteu ge bacot pisan
sadness,ka mesjid sedih kangmas aslina ku situasi kieu mah nyak ya allah abi kadang lalai jumat an ayeuna mah meuni karaos teu aya suara2 ti mesjid teh meuni asa saredih teu tiasa deui netepan
joy,nganjuk roko di bonusan koleq sampeu samangkok nuhun gusti
anger,nu sagala aya nu sagala boga sok balaga inget nu aya ngan sakur sementara nu hiji masa bakal sirna mikir goblog di dunia
fear,sarieun kieu euy piknik ka bdg ningal kos kieu th
sadness,masjid di lembur kolot meuni sedih ningalna sugan bisa di omean deui daerah cipanas
anger,gandeng bgsd bisi di centang ku aing 
anger,until tumorow teh saha si anying pansos pisan euy
anger,geus edan kitu ku aing mah lain di tonjok dipodaran sakalian
fear,aslina ben jadi sieun kieu ey
joy,ayeuna mah geus make sarung teh sok atoh naha nya embung weh muka sarung teh padahal geus di sunatan namah ti leutik keneh 
anger,aslina maruk na beragama make akal kitu garelo jelema teh wa lieur bieu urg nempo aya jenazah corona dek dikurebkeun warga2 pada nempoan ngarumpul coba mun kieu wae man indonesia jd pang rangsakna ku corona
sadness,watir urang mah ka si billy wa mentalna keur naek ujug2 dibeubeutkeun
anger,tah ya coba mikir yg masi bisa bisanya nongki otak sia dimarana anjg teu ngarti cik tingali goblog ku saria tong ngarasa masi muda sehat padahal mah kan gatau maneh matak ripuhh kehed ges saria cicing di imah kehed teh tos kena imbas weh ka nu kolot ibu bapa kakek nenek matak ripuhh kehed ges saria cicing di imah kehed
anger,aing ningali ig na beuki aral ajig ka jelema eta siga nu ngahajakeun
sadness,ninggali mamah uwih dagang ti pasar ujungberung meni sedih naha make jeung dtutup sgala tinggali supermarket meni buka dugi k d lebet supermarket oge sadayana sembako hampura curhat da abi mh jalmi bodo jd bisana ukur ambeuk kbegung hungkul wengi
fear,sieun di padasuka ada yg odp cenah untung aku anaknya betah bgt dirumah
anger,teu paduli saha mane aing teh deudeuh tp da mane na kt jd kesel jng keuheul aing moal wawuh deui jng mane sumpah 
anger,tong melak cangkeng wae maneh teh sopan
sadness,mung ukur ka gusti sim abdi sumerah sareng mung ka gusti abdi seja pasrah
sadness,dina hate leutik teu sedih pak ningali rakyat palestina di tembakan 
anger,rek kanyut bijil dina tarangna paduli bagong nyak wa
anger,hirup tong sok balaga bisi akhirna di pikangewa kaduhung akhirna menta hampura di tarima sakitu
anger,bacot na meni garihal tru gableg sopan gableg tv butut ghe
joy,sekarang baru ngerti kenapa siang bilang amanlah deket ke jkt nuhun teteh nuhun kang emil nuhun jabar meuni bungah terharuuu tadi
joy,ieu meureun anu ngaran katresna teh hat ngalayang bungah kacida unggal ningali ci amang di kebon binatang weleh inget wae ka salira
sadness,meuni karunya pisan didamel obyek siksaeun
anger,aing sieun ku aing kepret oge teroris anjritt
anger,modar siah brazil modar anjing setan goblog siah modar babi 
fear,tumben wayah kieu ti sindanglaya keneh macet ternyata di 24 banjir pareum listrik sarieun kieu
anger,anying laknat pisan jelema teh
anger,fabiano main pisan jeung ges tuir kitu dipertahankeun ai mas hariono dipiceun ngutek goblog atulah persib
sadness,padahal geus teu walakaya haben weh dihajar kumaha dek respect jol aya nu nyeletuk nya da polisi ge cape tapi nu demo na rusuh wae resiko kehed da tigas na ngamankeun mengayomi lain memukuli mun embung narima resiko kitu tong jadi polisi jadi weh tukang ngaput 
anger,rarasaan urang nu baragajul tapi asa bejad siga si abu janda nu wani nepi ka ngagogoreng ulama pertanyaan na naha si eta sakola agama oge sih siga ulama nu sejen tapi heran na loba nu ngadukung statement siga kitu patut artis deui asa beuki ku rudet
joy,teu hayang seuri tadinamah tapi pas maca komen iyeu jadi ngabarakatak sorangan
anger,eta beungeut hayang digaplok
fear,insidious1 aja udah bikin muringkak komo insidious2 bakal muringak muringkak insidious3 jadi muringkak muringkak muringkak engke
sadness,oh jadi gini kelakuan urang bebelaan ngadekem dikosan nahan balik ti jakarta ka tasik ngarah jadi carrier tapi kalakuan maraneh kitu solider urang balik maenya maneh balik karunya kolot di lembur rentan virus atuh gais cape lah ngomong jeung nu paduli
sadness,deudeuh jang ni eleh ku uwa uwa mah 4 jam ge sanggem knh
fear,rumah aku ada yang meninggal cucu cucunya pada nangis patarik tarik sarieun di belakang
joy,dulu mah nya nepi ka bosen aih ningali justin di tv teh eh mah bungah mun ningali ayeuna
anger,modar siah brazil modar anjing setan siah modar babi
anger,sia ngomong teu ngaca heula ton emg gagasan sia naon nyinyir wae pan beunget sia mah kos sia jadi wakil rakyat amit amit
joy,ngilu bungah aslina persib mah moodbuster pisannn keun bae da mahal ngahaja2 neang kabungah teh lupakan sejenak cicilan motor ka adira cicilan hape ka homkridit serta bank emok yang selalu menanti
anger,mun aya nu ngomong slow aing mah sieun ka corona tong panik dibawa slow ku virus mah hayang ngagorowok waduk anyinggggg
anger,ka imah geuleuh ih anjing eta ucing sumput nyumput ainx gera goblog teu nyopan pisan abuz ka imah batur tanpa permisi hayang neunggeul da
anger,salaki aing mh aing ngambek teh kalah malik rek jiga ngakan teu sidik mh
anger,bener mang naha nya jigana teh lamun meli anu mahal jigana teh ngaremeh ken padahal hesena anjing moal aya melaan sesuatu nepi ka bener2 kesang ka bool2 istilah na mah tapi batur mah ngaanggapna anjing s eta mah jigana gampang menangken anu kitu mah beunget sia gampang
fear,edan eja kaabusan jurig naon hih murinding
sadness,ku bakat wae nepika cai soca teu katahan sing kuat namina ngumbara sopi sing kuat jauh ti kolot sorangan can karasa k mnehna antepp eweh nu ngarti hji2 acan geu nu penting mah gawe apanan
fear,tos wengi pisan ieu cibiru teh jauh palaur seeur nu leres
anger,saria kabeh ngagugu kana beunguet pikeun mikanyaah hiji jalma mening kadek sia ku aing
fear,keueung nya teh angot pami tos teu aya nu ibadah haji mah naudzubillah himindhalik hiii
anger,paduli lah aing mah mantan pdkt an sia ges kolot ek sagede kmh ge wani aing mah di galey ku aing masing
fear,njirrr suka muringkak bulu punuk da ai aya lok lok jam seginih teh hororr atuda ihh
joy,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik
fear,atulah penasaran tapi sieun bulu kuduk lahir batin merinding iki 
fear,sumpah demi adank asa keueung kieu 
anger,naha iye budak gelo pisan bangsat goblog maneh 
anger,teu ngarti sia mah jadi preman teh
sadness,bari ngusapan tonggong si mamski teh teuing kunaon rarasaan teh nyaman pisan ai geus diusapan ku si mamski teh nu asalna biasa wae jadi sok saredih aing ka kamar loba pisan kenangan eta foto foto alika puisi puisi aing keur alika kuat aing ceurik deui di kamar di kamar
fear,sin bakat ku sieun urang lumpat ka tukang es
anger,heh ajig saha aww maneh dieu ku aing di slepet panonna 1 1 1 1 1 pira ge baraha menit kehed boga suku ingkig sorangan siateh anak mamah geus mah menta menta ka kabogoh telat saeutik ambek sia mental peuyeum kehed siah
anger,bagong corona nyusahken pisan si anjing
anger,aslina maruk na beragama teu make akal kitu garelo jelema teh wa lieur urg nempo aya jenazah corona dek dikurebkeun warga2 pada nempoan ngarumpul coba mun kieu wae bieu man indonesia jd rangsakna ku corona
anger,ngeselin bre lila si kehed te pira surat kesehatan nungguan sajam gblg teh setan
joy,lolos alhamdulillah ge te nanaon abi bingah ninggali permainan dan semangat juang tim anu ayeuna punten benten pisan sareng taun kamari
joy,dina sesa sampurasun nuhun gusti tos ngagugahkeun abdi sadayana dugikeun tiasa keneh netepkeun diri nyembah ka anjeun kersa maparin kahirupan anu pinuh ku ginanjar kawilujengan umur abdi sadayana aamiin rampees
fear,ngagoreng mepi ka lumpat lumpat na ngadenge sora guludug
sadness,ukur ngembeng cai soca wasa wakca balaka harita pisah jeung ema nu mulang ka alam baka
anger,punya temen kok ga ad akhlak na sholat subuh bangsat malah nge bokep sia teh gelo
joy,meni bagja ningali bandung kiwari gustii nu agung 
fear,punten min meneruskan info palaur ninggalna
fear,mah asa horror ngalangkun dinya teh nya kang mana jalanna asa kapungkur keueung da sepi
fear,engke bulu kuduk aing tegak berdiri sieun euy tapi daripada kepo
anger,ari maneh sok ngahinakeun teuing boa bayaranna leuwih gede ti penghasilan maneh 
anger,tangkurak sia tolol hed ngerakeun sunda bagong sia 
anger,tampiling padahal mah ku si emakna
anger,sia dongo sia bagong sia mah ngatain aing bisa na
sadness,merinding anying ngadengeken nu takbir teu walakaya sorangan mah teu bisa nanaon pikasedihen lamun dicaritaken mah
sadness,jam sakieu sepi pisan karasa pisan nyeletit nya kana dada nyai akan teu wasa ninggal keun nyai tapi kumaha akang ngumbara
fear,nahanya beut sarieun ningali nu di tilang
joy,asa sono bukber di tamansari nu kaluhur di cafe sg naon teh ajang canda tawa silaturahmi asa atoh teh ti lembur ulin ka kota
fear,ava maneh ganti ngadegdeg nempona ge
sadness,gusti pasihan kasehatan nu ajeg ka istri nu dipikanyaah ku abdi nie asa wasa ninggal na ge udur deui
joy,ya iya atuh bahagia makasih teh nisa
fear,ka leuweung peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna ta pikasieuneun urang angkat saurna urang ampir nyampe ka tujuan pas nyampe kuring ngajerit jeung ceurik
anger,taun goblog pisan saban nu dimasalahkeun ngan ngucapkeun natal hungkul masia ngucapkeun nteu ge bacot pisan
anger,hirup mah kudu natural terutama beunget sia tah ulah kandel teing ku bedak bisi iraha iraha aya nu ngepret era meuren ngebul
fear,pen pake sepatu baluu tapi keluar ge sararieun kieu euy tapi kemarin liat jati kopi rame bet teu sarieun kitu jelema
sadness,uing ge baheula anggota pramuka kieu2 teuing jadi asa sararedih uing mah
fear,astagfirullah ateul jeung ateul we raray 0 0 panyakit ni enya kieukieu teuing yaalah
sadness,kadang mah ngerasa teu kuat gusti pasrah we lah kumaha ge aya nu ngatur mugia tiasa iklas we ayeuna mah
joy,tah eta kang kitu gening hawatos na ibu na rrencangan ge teu nembe damel kang alhamdulillah na tiasa ngajait alhamdulillah pesenan masker aya wae tadi ti abdi 600 losin rengse
sadness,kieu kanyataan na matak nalangsa ti awal maen ge karunya
joy,ampun kang ieu keur taruang sakeluarga taramplok sangu na piring nyakakak ningali michael jordan
joy,alhamdulillah dugi bumi hatur nuhun gusti masihan kalancaran hatur nuhun barudak kalian semua luar biasa
anger,someah anjing someah isuk nyien aing kehel apa iye tukang bubur ku aing kadek
anger,boga kolot teh anjing gawena aambekan wae naon saria ijid ka aing yeuh atuh anjing bunuh aing sakalian
joy,haturnuhun ang tos merhatoskeun para distrik mugia taun ieu karompak sareng te silih pagedrug antar distrik
joy,asem sambal terasi ikan asin nikmat pisan gusti
fear,pas intro oke fine masih kuat walaupun agak takut pas intro beres jol lagu abditeh ayeuna bangsul auto muringkak eta mah te kuat sieun tp masih penasaran tp da sieun 
sadness,dan aing pun nyurucud cipanon teukatahan pas ningali si jaya jeung adi na ceurik ngageunggeuik marengan almarhum dimandian allohu akbar 
joy,udud ngeunah pisan ya allah
anger,sia deuk ngaduruk bendera tauhid kadieu datang siah loba di dieu cobaan ku sia duruk dihareupeun jelema loba pengungsi anu keur kamusibahan mun sia teu modar saharita keneh berarti sia jago ditungguan siah ku di palu 
joy,ngupingkeun tembang2 john lennon ku cikopay sareng cai hujan ditambih sesepeun gusti aya ku nikmat di baturan
joy,muhun kang irfan ure the best lakh poko na hatur nuhun ka sadayana ksatria garuda bingah abdi gaduh garuda hehe
sadness,ihh ni saredih ningali kidz now di tribun kalakuan na teh aneh2 perlu edukasi tingkat dewa ieu mah karunya zaman
anger,aya jelema di rp di rl sok hayang pupujieun sok hayang mupuas batur nepi ka beak karep naa ari silaing cageur babangus jeung kokod teh bet sarua belegug na
fear,macaan replyan jeung twit bayavvak eta asa hariwang bahh asa mni bebas eta komo abi kagungan murangkalih istri hariwang duhh
anger,kehed sia anying teu daek cicing pisan sia anying ceuk aing diuk didinya maneh siawwteh diuk didinya maneh kadieu ganggu aing ai sia teh oooh si jelema apa monyet sih aing bingung goblog rariweh pisan palalur da aing da gelut jeung aingggg
sadness,sok teu wasa ninggal anjeun mulih ngincig nyalira 
joy,sampurasun nuhun gusti tos ngagugahkeun abdi sadayana dugikeun tiasa keneh netepkeun diri nyembah ka anjeun mugia kersa maparin kahirupan anu pinuh ku ginanjar kawilujengan dina sesa umur abdi sadayana aamiin rampees
joy,malem ai minggu t h sok atoh lah atoh bag an ngaronda d
joy,hebat si jenong aya di aussie bari ajrut huhujanan meuni bungah heheuy dedeuh
joy,kakara persib eleh tapi hati tetep bungah optimis ningali permainan marake geutih kabeh ayeuna
fear,aamiin hariwang nempo kondisi makin kieu teh jujur weh 
sadness,ya allah saking ku nyeri hate na saking ku bingung na nepi bisa ceurik ceurik acan nu aya ngahuleng weh allahuakbar allahuakbar
joy,paling nikmat teh lamun saharian cape terus balik mandi terus gogoleran sabari jendela dibukakeun duuh nuhun gusti ka imah
anger,asli goblog perih pisan eta pernah nyobaan make ieu waktu tigesruk kuatka siga nu lengit hela nyawa terus balik
anger,gandeng adeg eta saha nu ngadrag lah meni di harep imah aing siah buburak ku aing pepeks 
anger,jelema anu musingkeun nyaeta jelema nu hituna di cangeum di biuskeun kana babangus aku terkutuk sia goblok
joy,alhamdulillah dianggap pemerintah jadi urang sugih
joy,asa bagja ngangge acuk ieu di lembur batur asa teu aya nu ngangg deui salian ti abdi kang
fear,duh sarieun ninggal na ge kedah nyaketken diri ka gusti ari gunung bitu teh
joy,hapal 1 juz juga alhamdulillah pisan bapana mah boro2
fear,hmmm keeng kieu neng mun kadinya the
sadness,subhanalloh nya asa saredih ningali foto2 dulu barageur keneh 
joy,nembe sumping ka bumi persib kengeng asa bungah kieu ayeuna poe nuhun pisan
sadness,ayeuna alika ge nalangsa sigana komo lamun naon wae nu pernah dilakonan jeng anhar heg kajadian deui jeung salakina eta bakal kasiksa kacida sabenernya mun dibayangkeun mah anggeus mah sok weh sing salabar heg mun bobogohan teh cing bari usaha bisa nikahna jeng nu eta
joy,geus aya anu nganteran kupat tahu ari ka jalmi soleh tur kasep mah timana weh rizki mah nuhun gusti isuk isuk
sadness,sing karunya kanu dilembur mun arurang benang virus saha nu rek bertani 
joy,sae purwakarta janten kota nu di akui ku dunia international masyarakat purwakarta bingah gaduh bpk bupati na hebat sukses bapa
sadness,sedih euy meuni sadgrel kiyeu kita teh
anger,apa atuh ini teh kekinians tapi keblinger cik atuh lah nga adminan akun official persib teh baleg saeutik mah jangan kayak gini caranya jangan malu2in ya punteun pisan ini mah
anger,anying laknat jelema teh
fear,aduh ngaderegdeg gini euy sieun
anger,geus ka prediksi sih bakal eleh tapi teu di jojoet jiga kieu oge atuh bagong sahenteu na boga ka era jeung aya perlawanan atuh goblog aral anying
sadness,nepi ka belegug belegugna dib akkeun ku sorangan watir urang mah ngabandunganana g aslina
sadness,sedih kangmas aslina ku situasi kieu mah nyak ya allah abi kadang lalai jumat an ayeuna mah meuni karaos teu aya suara2 ti mesjid teh meuni asa saredih teu tiasa deui netepan ka mesjid 
joy,teu ereun nyakakak nyakikik dugi ka nolol panon sok jadi hayang ngajenggut pipi nyiwit buuk wkwkw
sadness,sakapeng mah sok jol ngeclak cai panon teh mun ninggal batur di paroto sareng ibu na teh
fear,baru kali itu abah bekerja dugi ka poek mongkleng pas basa abah ke ruangan bos abah melewati ruang tunggu yang sepi abah merasa muringkak
joy,ya alloh abdi bingah tiasa sapa salam srg anjna
sadness,asa karunya kanu imahna dibojong soang usum halodo jadi badai pasair ku agungpodomoro usum hujan banjir wae 
anger,indihome teh kunaon anying padahal anyar mayar teh tapi lemot pisan ih tai
joy,di lembur asa bagja ngangge acuk ieu batur asa teu aya nu ngangg salian ti abdi kang
anger,emg kaayaan urg kieu ayana ayena disebut madesu ge ngan engke aing gs ngaluhuran sia di leyek ku aing mah sirah sia
sadness,enya watir urg mah ngan ningali kamu pikasediheun demi alloh 
joy,alhamdulillah natal tahun ini kumpul sama umi abi aa teteh sadayana nuhun gusti
fear,gamau bayarin akulaku kredivo shopeepaylater gtu pa apalagi buat yg nganggur rek neangan gawe kudu diimah rek dagang keliling eweuh nu meuli da sararieun batur didieu teh bapa skincare abdi ge tos seep pa cik atu gratiskeun guardian jeung watsons ogenya
sadness,sedih kieu ningali launching persib 2taun katukang ai persib teh nu saha persib gede pedah saha tanpa bobotoh maneh moal segede ayeuna
joy,mun ceuk urang mah meunang chat ti kabogoh nu eusina loba emot na sok atoh we alay sih tapi paduli
joy,alian pernah manggih duit tina pesak calana nu geus lila aing men manggih majuta ni asa bagja euy aslina bieu
fear,murinding euy smoga msh panggih jeung ramadhan taun hareup
sadness,asa teu wasa ninggal mamah n bpak riweuh qtu 
anger,sagala dihakan da china mah aral aing corona can leungit aya nu anyar
joy,deg degan pak kiyai dulu kalau lagi ngaji bab ini sok rame teu puguh loba babarakatakan tibatan nyimak 
sadness,meni pikawatireun sing jang zohri nu penting merah putih selalu dihati
sadness,sarap sia goblog lain nga di imah jedog nararongki rujit aing nempona ge di bejaan alus nya kumaha aing atuh neng hirup hirup aing enyaa a hidup sia tapi mun sia maot gara gara korona ge kabeh ripuh kehed meuni teu ngarti ngarti sedih aing
anger,lokdong impoh pagujud imah kelelep kabeh acak acakan atau gebotan biang panyakitna podaran agen penyalur dan pengecer kikikan di tengah leuweungna 
sadness,naha asa ngarasa sedih ningali persib maen home sepi pemain cadangan deui gegara di dzalimi ku federasi sok sib buktikeun di lapangan yakin bisa meunang aamiin
sadness,ka batur tanyakeun ai teu ngartos mah ulah dipikiran ku sorangan bisi gelo watir urang mah
anger,sok pinapsueun ker baroga duit teh
anger,someah anjing someah nyien aing kehel isuk apa iye tukang bubur ku aing kadek
sadness,sedih heh ningali indonesia kieu teh 
sadness,asli wa aing mah dibahas mah kalah sok piaralen nyurucud cai panon weh hayang leweh panto kamar weh rajet deui jadi tumbal
sadness,reii nyurucud cipanon mun inget jasa kanu jd indung jeung bapak hapunten abdi teu acan tiasa mulang tarima mung saukur doa jeung doa 
sadness,deudeuh teuing anaking jimat awaking keun nu janten buktos nu lepat sing bisa tobat mun jauh atuh ulah loba ngeluh ibadahan ku kasaean
sadness,ceuk aingge tong balik kan jd we nyeri hate 
fear,isukan arek daremo moal nya sarieun euy isukan bade kaluar sing aya nu ngajieun jalanan maceut jadina weuh sarangeuk tp na da kumaha nya mun gawe mah teu bisa deui di tinggalkeun
joy,haduh alhamdulillah meuni nikmat pisan geningnya curhat teh
anger,di bandung mikir atuh anjing jang bobotoh luar bandung oge jauh jauh hyg nyaksikeun macth ieuge malah ku brdk bandung keneh di batikeunna sakitu mun saria away menta tulung tiketna kasaha urg selaku bobotoh nu ge kecewa kieumah anjeng pisan lah
joy,mici mincot td aku bikin es nata de coco biji selasih nikmat cot alhmdulilah menu anak kos aja
fear,pajauh sakedung ge asa melang hariwang wayahna kasep geulis anak ayah demi tugas ku ayah dikantun heula 
joy,seuseurian nepi ka cangkeul perut gustiii
sadness,ngan saukur tiasa nyaklakeun cai soca teu tiasa ningali jadilah penerus agama dan bangsa jagoanku ikmal
joy,hayang wae seri teu kuat nyeuri kulit beuteng ka mang adeung sing di panjangkeun umur na nya aminnnnn is tong kitu
sadness,tiba tiba kepikiran aponi sedih cirambayan ajaa
fear,jalan nu bade ka pangandaran ge nu pas bulak belok na wengi mah asa keueung oge wa komo loba tangkal nu baradag mah 
fear,sereum atuh siliwangi mah kajeun ngalewat jalak jam sakieu keur itu teu pati keeung siliwangi mah eduns
sadness,nah kitu meni sedih ongkoh mahasiswa tapi mikirna kitu
anger,minuhan tl ig anying eta until tomorow hoream
anger,nya ngan ku sombongna eta ey ijid pinafsueun
sadness,bieu ngawadul jeung adi ngabahas man hanna nu rek lulus smp r k lanjut kamana jeung hayang ka hareupna kumaha ningali r spon man hna kuat teu wasa sabab manehna geus gede deui wa jeung urang can jadi conto anu bener 
sadness,nya prihatin siih tp kedah kitu at pak bozz hapuntn abi tos kmh wntu
joy,kadang sok bijil rasa bangga ka budak nu kasebut ti keluarga boga tp manehna gs mampu kerja keras kana usaha urg leuwih ngahargaan budak kieu dr pada budak nu bisana ukur barang penta ka kolot bagja jang cing gede rejeki
sadness,sasapoe di kosan teu dahar sangu sieun aya korona yawloooo peurih amat iyeu hirup
sadness,sasapoe di kosan dahar sangu sieun aya korona yawloooo peurih amat iyeu hirup
joy,nuju lieur gaduh artos tapi ngupingkeun lagu baruku kang sule jadi bungah hate sareung pikiran iyeu teh nuhun kang
sadness,kabiasaan persib dicurangin teh da hate nyeri cai soca kabendung badan enak ulah damang ya allah ngan gara2 wasit
joy,mhn kang jumat kamari aya broadcast wa ti kec jumatan di tiadakan di kec abdi kamari pengurus masjid rapat ngabahas jumatan dinten ieu koordinasi sareng pihak terkait alhamdulillah dinten ieu tiasa jumatan diterapkeun oge standar pencegahan
sadness,muhun asa saredih nya mugia enggal berlalu pandemi ieu aminnnn
sadness,uwow hayang ceurik ajiggggg perjuangan aing jang awewe sia sia nyeri hate pisan
